Date,Open,High,Low,Close
08/24/2020,"3,418.09","3,432.09","3,413.13","3,431.28"
08/21/2020,"3,386.01","3,399.96","3,379.31","3,397.16"
08/20/2020,"3,360.48","3,390.80","3,354.69","3,385.51"
08/19/2020,"3,392.51","3,399.54","3,369.66","3,374.85"
08/18/2020,"3,387.04","3,395.06","3,370.15","3,389.78"
08/17/2020,"3,380.86","3,387.59","3,379.22","3,381.99"
08/14/2020,"3,368.66","3,378.51","3,361.64","3,372.85"
08/13/2020,"3,372.95","3,387.24","3,363.35","3,373.43"
08/12/2020,"3,355.46","3,387.89","3,355.46","3,380.35"
08/11/2020,"3,370.34","3,381.01","3,326.44","3,333.69"
08/10/2020,"3,356.04","3,363.29","3,335.44","3,360.47"
08/07/2020,"3,340.05","3,352.54","3,328.72","3,351.28"
08/06/2020,"3,323.17","3,351.03","3,318.14","3,349.16"
08/05/2020,"3,317.37","3,330.77","3,317.37","3,327.77"
08/04/2020,"3,289.92","3,306.84","3,286.37","3,306.51"
08/03/2020,"3,288.26","3,302.73","3,284.53","3,294.61"
07/31/2020,"3,270.45","3,272.17","3,220.26","3,271.12"
07/30/2020,"3,231.76","3,250.92","3,204.13","3,246.22"
07/29/2020,"3,227.22","3,264.74","3,227.22","3,258.44"
07/28/2020,"3,234.27","3,243.72","3,216.17","3,218.44"
07/27/2020,"3,219.84","3,241.43","3,214.25","3,239.41"
07/24/2020,"3,218.58","3,227.26","3,200.05","3,215.63"
07/23/2020,"3,271.64","3,279.99","3,222.66","3,235.66"
07/22/2020,"3,254.86","3,279.32","3,253.10","3,276.02"
07/21/2020,"3,268.52","3,277.29","3,247.77","3,257.30"
07/20/2020,"3,224.29","3,258.61","3,215.16","3,251.84"
07/17/2020,"3,224.21","3,233.52","3,205.65","3,224.73"
07/16/2020,"3,208.36","3,220.39","3,198.59","3,215.57"
07/15/2020,"3,225.98","3,238.28","3,200.76","3,226.56"
07/14/2020,"3,141.11","3,200.95","3,127.66","3,197.52"
07/13/2020,"3,205.08","3,235.32","3,149.43","3,155.22"
07/10/2020,"3,152.47","3,186.82","3,136.22","3,185.04"
07/09/2020,"3,176.17","3,179.78","3,115.70","3,152.05"
07/08/2020,"3,153.07","3,171.80","3,136.53","3,169.94"
07/07/2020,"3,166.44","3,184.15","3,142.93","3,145.32"
07/06/2020,"3,155.29","3,182.59","3,155.29","3,179.72"
07/02/2020,"3,143.64","3,165.81","3,124.52","3,130.01"
07/01/2020,"3,105.92","3,128.44","3,101.17","3,115.86"
06/30/2020,"3,050.20","3,111.51","3,047.83","3,100.29"
06/29/2020,"3,018.59","3,053.89","2,999.74","3,053.24"
06/26/2020,"3,073.20","3,073.73","3,004.63","3,009.05"
06/25/2020,"3,046.60","3,086.25","3,024.01","3,083.76"
06/24/2020,"3,114.40","3,115.01","3,032.13","3,050.33"
06/23/2020,"3,138.70","3,154.90","3,127.12","3,131.29"
06/22/2020,"3,094.42","3,120.92","3,079.39","3,117.86"
06/19/2020,"3,140.29","3,155.53","3,083.11","3,097.74"
06/18/2020,"3,101.64","3,120.00","3,093.51","3,115.34"
06/17/2020,"3,136.13","3,141.16","3,108.03","3,113.49"
06/16/2020,"3,131.00","3,153.45","3,076.06","3,124.74"
06/15/2020,"2,993.76","3,079.76","2,965.66","3,066.59"
06/12/2020,"3,071.04","3,088.42","2,984.47","3,041.31"
06/11/2020,"3,123.53","3,123.53","2,999.49","3,002.10"
06/10/2020,"3,213.42","3,223.27","3,181.49","3,190.14"
06/09/2020,"3,213.32","3,222.71","3,193.11","3,207.18"
06/08/2020,"3,199.92","3,233.13","3,196.00","3,232.39"
06/05/2020,"3,163.84","3,211.72","3,163.84","3,193.93"
06/04/2020,"3,111.56","3,128.91","3,090.41","3,112.35"
06/03/2020,"3,098.90","3,130.94","3,098.90","3,122.87"
06/02/2020,"3,064.78","3,081.07","3,051.64","3,080.82"
06/01/2020,"3,038.78","3,062.18","3,031.54","3,055.73"
05/29/2020,"3,025.17","3,049.17","2,998.61","3,044.31"
05/28/2020,"3,046.61","3,068.67","3,023.40","3,029.73"
05/27/2020,"3,015.65","3,036.25","2,969.75","3,036.13"
05/26/2020,"3,004.08","3,021.72","2,988.17","2,991.77"
05/22/2020,"2,948.05","2,956.76","2,933.59","2,955.45"
05/21/2020,"2,969.95","2,978.50","2,938.57","2,948.51"
05/20/2020,"2,953.63","2,980.29","2,953.63","2,971.61"
05/19/2020,"2,948.59","2,964.21","2,922.35","2,922.94"
05/18/2020,"2,913.86","2,968.09","2,913.86","2,953.91"
05/15/2020,"2,829.95","2,865.01","2,816.78","2,863.70"
05/14/2020,"2,794.54","2,852.80","2,766.64","2,852.50"
05/13/2020,"2,865.86","2,874.14","2,793.15","2,820.00"
05/12/2020,"2,939.50","2,945.82","2,869.59","2,870.12"
05/11/2020,"2,915.46","2,944.25","2,903.44","2,930.32"
05/08/2020,"2,908.83","2,932.16","2,902.88","2,929.80"
05/07/2020,"2,878.26","2,901.92","2,876.48","2,881.19"
05/06/2020,"2,883.14","2,891.11","2,847.65","2,848.42"
05/05/2020,"2,868.88","2,898.23","2,863.55","2,868.44"
05/04/2020,"2,815.01","2,844.24","2,797.85","2,842.74"
05/01/2020,"2,869.09","2,869.09","2,821.61","2,830.71"
04/30/2020,"2,930.91","2,930.91","2,892.47","2,912.43"
04/29/2020,"2,918.46","2,954.86","2,912.16","2,939.51"
04/28/2020,"2,909.96","2,921.15","2,860.71","2,863.39"
04/27/2020,"2,854.65","2,887.72","2,852.89","2,878.48"
04/24/2020,"2,812.64","2,842.71","2,791.76","2,836.74"
04/23/2020,"2,810.42","2,844.90","2,794.26","2,797.80"
04/22/2020,"2,787.89","2,815.10","2,775.95","2,799.31"
04/21/2020,"2,784.81","2,785.54","2,727.10","2,736.56"
04/20/2020,"2,845.62","2,868.98","2,820.43","2,823.16"
04/17/2020,"2,842.43","2,879.22","2,830.88","2,874.56"
04/16/2020,"2,799.34","2,806.51","2,764.32","2,799.55"
04/15/2020,"2,795.64","2,801.88","2,761.54","2,783.36"
04/14/2020,"2,805.10","2,851.85","2,805.10","2,846.06"
04/13/2020,"2,782.46","2,782.46","2,721.17","2,761.63"
04/09/2020,"2,776.99","2,818.57","2,762.36","2,789.82"
04/08/2020,"2,685.00","2,760.75","2,663.30","2,749.98"
04/07/2020,"2,738.65","2,756.89","2,657.67","2,659.41"
04/06/2020,"2,578.28","2,676.85","2,574.57","2,663.68"
04/03/2020,"2,514.92","2,538.18","2,459.96","2,488.65"
04/02/2020,"2,458.54","2,533.22","2,455.79","2,526.90"
04/01/2020,"2,498.08","2,522.75","2,447.49","2,470.50"
03/31/2020,"2,614.69","2,641.39","2,571.15","2,584.59"
03/30/2020,"2,558.98","2,631.80","2,545.28","2,626.65"
03/27/2020,"2,555.87","2,615.91","2,520.02","2,541.47"
03/26/2020,"2,501.29","2,637.01","2,500.72","2,630.07"
03/25/2020,"2,457.77","2,571.42","2,407.53","2,475.56"
03/24/2020,"2,344.44","2,449.71","2,344.44","2,447.33"
03/23/2020,"2,290.71","2,300.73","2,191.86","2,237.40"
03/20/2020,"2,431.94","2,453.01","2,295.56","2,304.92"
03/19/2020,"2,393.48","2,466.97","2,319.78","2,409.39"
03/18/2020,"2,436.50","2,453.57","2,280.52","2,398.10"
03/17/2020,"2,425.66","2,553.93","2,367.04","2,529.19"
03/16/2020,"2,508.59","2,562.98","2,380.94","2,386.13"
03/13/2020,"2,569.99","2,711.33","2,492.37","2,711.02"
03/12/2020,"2,630.86","2,660.95","2,478.86","2,480.64"
03/11/2020,"2,825.60","2,825.60","2,707.22","2,741.38"
03/10/2020,"2,813.48","2,882.59","2,734.00","2,882.23"
03/09/2020,"2,863.89","2,863.89","2,734.43","2,746.56"
03/06/2020,"2,954.20","2,985.93","2,901.54","2,972.37"
03/05/2020,"3,075.70","3,083.04","2,999.83","3,023.94"
03/04/2020,"3,045.75","3,130.97","3,034.38","3,130.12"
03/03/2020,"3,096.46","3,136.72","2,976.63","3,003.37"
03/02/2020,"2,974.28","3,090.96","2,945.19","3,090.23"
02/28/2020,"2,916.90","2,959.72","2,855.84","2,954.22"
02/27/2020,"3,062.54","3,097.07","2,977.39","2,978.76"
02/26/2020,"3,139.90","3,182.51","3,108.99","3,116.39"
02/25/2020,"3,238.94","3,246.99","3,118.77","3,128.21"
02/24/2020,"3,257.61","3,259.81","3,214.65","3,225.89"
02/21/2020,"3,360.50","3,360.76","3,328.45","3,337.75"
02/20/2020,"3,380.45","3,389.15","3,341.02","3,373.23"
02/19/2020,"3,380.39","3,393.52","3,378.83","3,386.15"
02/18/2020,"3,369.04","3,375.01","3,355.61","3,370.29"
02/14/2020,"3,378.08","3,380.69","3,366.15","3,380.16"
02/13/2020,"3,365.90","3,385.09","3,360.52","3,373.94"
02/12/2020,"3,370.50","3,381.47","3,369.72","3,379.45"
02/11/2020,"3,365.87","3,375.63","3,352.72","3,357.75"
02/10/2020,"3,318.28","3,352.26","3,317.77","3,352.09"
02/07/2020,"3,335.54","3,341.42","3,322.12","3,327.71"
02/06/2020,"3,344.92","3,347.96","3,334.39","3,345.78"
02/05/2020,"3,324.91","3,337.58","3,313.75","3,334.69"
02/04/2020,"3,280.61","3,306.92","3,280.61","3,297.59"
02/03/2020,"3,235.66","3,268.44","3,235.66","3,248.92"
01/31/2020,"3,282.33","3,282.33","3,214.68","3,225.52"
01/30/2020,"3,256.45","3,285.91","3,242.80","3,283.66"
01/29/2020,"3,289.46","3,293.47","3,271.89","3,273.40"
01/28/2020,"3,255.35","3,285.78","3,253.22","3,276.24"
