Date,Open,High,Low,Close
08/27/2018,"2,884.69","2,898.25","2,884.69","2,896.74"
08/24/2018,"2,862.35","2,876.16","2,862.35","2,874.69"
08/23/2018,"2,860.29","2,868.78","2,854.03","2,856.98"
08/22/2018,"2,860.99","2,867.54","2,856.05","2,861.82"
08/21/2018,"2,861.51","2,873.23","2,861.32","2,862.96"
08/20/2018,"2,853.93","2,859.76","2,850.62","2,857.05"
08/17/2018,"2,838.32","2,855.63","2,833.73","2,850.13"
08/16/2018,"2,831.44","2,850.49","2,831.44","2,840.69"
08/15/2018,"2,827.95","2,827.95","2,802.49","2,818.37"
08/14/2018,"2,827.88","2,843.11","2,826.58","2,839.96"
08/13/2018,"2,835.46","2,843.40","2,819.88","2,821.93"
08/10/2018,"2,839.64","2,842.20","2,825.81","2,833.28"
08/09/2018,"2,857.19","2,862.48","2,851.98","2,853.58"
08/08/2018,"2,856.79","2,862.44","2,853.09","2,857.70"
08/07/2018,"2,855.92","2,863.43","2,855.92","2,858.45"
08/06/2018,"2,840.29","2,853.29","2,835.98","2,850.40"
08/03/2018,"2,829.62","2,840.38","2,827.37","2,840.35"
08/02/2018,"2,800.48","2,829.91","2,796.34","2,827.22"
08/01/2018,"2,821.17","2,825.83","2,805.85","2,813.36"
07/31/2018,"2,809.73","2,824.46","2,808.06","2,816.29"
07/30/2018,"2,819.00","2,821.74","2,798.11","2,802.60"
07/27/2018,"2,842.35","2,843.17","2,808.34","2,818.82"
07/26/2018,"2,835.49","2,845.57","2,835.26","2,837.44"
07/25/2018,"2,817.73","2,848.03","2,817.73","2,846.07"
07/24/2018,"2,820.68","2,829.99","2,811.12","2,820.40"
07/23/2018,"2,799.17","2,808.61","2,795.14","2,806.98"
07/20/2018,"2,804.55","2,809.70","2,800.01","2,801.83"
07/19/2018,"2,809.37","2,812.05","2,799.77","2,804.49"
07/18/2018,"2,811.35","2,816.76","2,805.89","2,815.62"
07/17/2018,"2,789.34","2,814.19","2,789.24","2,809.55"
07/16/2018,"2,801.43","2,803.71","2,793.39","2,798.43"
07/13/2018,"2,796.93","2,804.53","2,791.69","2,801.31"
