Date,Open,High,Low,Close
08/26/2019,"2,866.70","2,879.27","2,856.00","2,878.38"
08/23/2019,"2,911.07","2,927.01","2,834.97","2,847.11"
08/22/2019,"2,930.94","2,939.08","2,904.51","2,922.95"
08/21/2019,"2,922.04","2,928.73","2,917.91","2,924.43"
08/20/2019,"2,919.01","2,923.63","2,899.60","2,900.51"
08/19/2019,"2,913.48","2,931.00","2,913.48","2,923.65"
08/16/2019,"2,864.74","2,893.63","2,864.74","2,888.68"
08/15/2019,"2,846.20","2,856.67","2,825.51","2,847.60"
08/14/2019,"2,894.15","2,894.15","2,839.64","2,840.60"
08/13/2019,"2,880.72","2,943.31","2,877.05","2,926.32"
08/12/2019,"2,907.07","2,907.58","2,873.14","2,883.75"
08/09/2019,"2,930.51","2,935.75","2,900.15","2,918.65"
08/08/2019,"2,896.21","2,938.72","2,894.47","2,938.09"
08/07/2019,"2,858.65","2,892.17","2,825.71","2,883.98"
08/06/2019,"2,861.18","2,884.40","2,847.42","2,881.77"
08/05/2019,"2,898.07","2,898.07","2,822.12","2,844.74"
08/02/2019,"2,943.90","2,945.50","2,914.11","2,932.05"
08/01/2019,"2,980.32","3,013.59","2,945.23","2,953.56"
07/31/2019,"3,016.22","3,017.40","2,958.08","2,980.38"
07/30/2019,"3,007.66","3,017.19","3,000.94","3,013.18"
07/29/2019,"3,024.47","3,025.61","3,014.30","3,020.97"
07/26/2019,"3,013.25","3,027.98","3,012.59","3,025.86"
07/25/2019,"3,016.26","3,016.31","2,997.24","3,003.67"
07/24/2019,"2,998.77","3,019.59","2,996.82","3,019.56"
07/23/2019,"2,994.74","3,005.90","2,988.56","3,005.47"
07/22/2019,"2,981.93","2,990.71","2,976.65","2,985.03"
07/19/2019,"3,004.26","3,006.02","2,975.86","2,976.61"
07/18/2019,"2,978.87","2,998.28","2,973.09","2,995.11"
07/17/2019,"3,005.10","3,005.26","2,984.25","2,984.42"
07/16/2019,"3,012.13","3,015.02","3,001.15","3,004.04"
